TV Title,totaln,males_n,females_n,under_18_n,males_under_18_n,females_under_18_n,aged_18_to_29_n,males_aged_18_to_29_n,females_aged_18_to_29_n,aged_30_to_44_n,males_aged_30_to_44_n,females_aged_30_to_44_n,aged_45_n,males_aged_45_n,females_aged_45_n,imdb_staff_n,top_1000_voters_n,US_users_n,mean,males,females,under_18,males_under_18,females_under_18,aged_18_to_29,males_aged_18_to_29,females_aged_18_to_29,aged_30_to_44,males_aged_30_to_44,females_aged_30_to_44,aged_45,males_aged_45,females_aged_45,imdb_staff,top_1000_voters,US_users
Phenom,84,43,30,NA,NA,NA,13,9,4,49,27,22,8,7,1,NA,5,44,7.1,5.6,7,NA,NA,NA,5.7,4.7,9.3,5.9,5.5,6.6,6.6,6.6,6,NA,3,6.9
Police Squad!,5891,4737,431,55,52,3,1962,1832,130,2285,2134,151,715,623,92,NA,226,1491,8.4,8.5,7.4,8.2,8.3,1.3,8.3,8.5,5.9,8.4,8.4,7.8,8.5,8.5,8.4,NA,6.9,8.1
The Proud Family,2881,1310,1181,187,75,112,1735,896,839,360,228,132,120,79,41,NA,71,1488,5.6,5.2,6.2,7.2,7,7.4,5.6,5.2,6.1,5.7,5.3,6.8,4.8,4.7,5.3,NA,5,5.5
Rodney,457,338,74,5,4,1,185,158,27,150,127,23,63,45,18,NA,26,169,5.9,6.3,4.9,8.6,7.8,10,5.8,5.9,4.2,6.5,6.6,5.7,6,6.5,4.4,NA,4.3,6.5
Romantically Challenged,448,253,150,5,2,3,200,119,81,155,106,49,36,24,12,NA,27,140,5,4.8,5.9,6.9,8.5,6.7,5.9,5.6,6.6,4.4,4.2,5.6,4.6,4.7,3.9,NA,4.2,5.2
Roseanne,20283,11430,6674,146,70,76,7640,4435,3205,7917,5421,2496,1820,1266,554,3,308,8853,6.7,6.6,7.2,7.3,7.4,7.2,6.8,6.5,7.3,6.8,6.7,7.3,6.5,6.4,7,8.3,5.9,7
"Sabrina, the Teenage Witch",17569,7795,7858,370,100,270,10669,4917,5752,3605,2221,1384,673,455,218,1,248,4363,6.2,5.8,6.8,7.2,6.9,7.4,6.5,6.1,7.1,5.5,5.3,6.2,5.9,5.9,6.1,3,5.1,6.2
Samantha Who?,7209,3027,3701,105,22,83,3902,1538,2364,2136,1158,978,432,273,159,2,123,1938,7.2,6.9,7.6,7.6,7.5,7.6,7.4,7,7.7,7,6.8,7.4,7.1,7.1,7.3,7.5,5.6,7.1
The Secret Lives of Men,34,20,8,1,1,NA,7,4,3,16,12,4,4,3,1,NA,5,16,8.1,7.6,9.2,10,10,NA,9.7,9,9,8.5,8.4,9.8,7,6.3,9,NA,6.1,9.8
"Sister, Sister",5449,2248,2554,177,54,123,3226,1371,1855,1046,652,394,188,119,69,NA,117,2696,5.7,5.1,6.6,6.6,5.6,7.5,6.2,5.6,6.9,4.9,4.6,6,4.8,4.6,5.3,NA,4.9,5.9
The Slap Maxwell Story,56,43,5,NA,NA,NA,3,3,NA,14,12,2,30,27,3,NA,9,34,8,7.4,6,NA,NA,NA,8,8,NA,6.5,6.8,5.5,7.6,7.7,6,NA,6.9,7.5
Sledge Hammer!,3403,2640,372,8,6,2,750,650,100,1769,1588,181,408,350,58,1,132,759,7.9,8,7.4,8,8,5.5,7.6,7.8,6,8,8,7.7,8,8,8.2,7,5.6,7.2
Spin City,16929,12288,2973,160,115,45,7438,5956,1482,6105,5082,1023,1164,901,263,2,272,4018,7.3,7.3,7.1,7.5,7.4,7.5,7.4,7.5,7,7.2,7.2,7,7.2,7.2,7.2,6.5,6.1,7.1
Sports Night,4316,2863,943,11,7,4,1273,970,303,1833,1446,387,580,402,178,3,118,2458,8,8.1,7.8,8,8,5.5,7.5,7.6,6.9,8.2,8.2,8.2,8.4,8.4,8.6,7.3,5.5,8
Step by Step,6161,3719,1777,30,18,12,3024,1942,1082,2026,1503,523,278,194,84,NA,158,2039,6,6,6.3,6.2,5.4,8,6.4,6.4,6.5,5.8,5.7,6.2,5.6,5.5,5.9,NA,4.7,5.8
Surviving Suburbia,472,310,113,6,2,4,205,152,53,152,118,34,50,37,13,NA,22,216,5.4,5.5,5.5,8.6,7,8,6.2,6.2,5.9,5.1,5,5.2,4.6,4.4,5.3,NA,3.6,5.7
Teen Angel,455,228,173,NA,NA,NA,285,158,127,80,51,29,19,15,4,NA,22,152,7,6.8,7.7,NA,NA,NA,7.2,7,7.7,6.6,6.2,7.4,7.2,6.9,8.5,NA,5.7,6.8
Thea,106,42,47,NA,NA,NA,31,9,22,41,25,16,14,7,7,NA,8,72,6.8,6.2,8.2,NA,NA,NA,8.8,7.6,9.6,6.5,6.2,7.6,5.8,5.4,6.4,NA,5.4,7
Three's a Crowd,324,212,56,NA,NA,NA,27,24,3,154,120,34,80,65,15,NA,33,179,5.5,5.5,5.8,NA,NA,NA,6.3,6.3,7.3,5.4,5.3,6.3,5.6,5.7,5.5,NA,4.8,5.5
Thunder Alley,72,30,27,NA,NA,NA,24,14,10,26,13,13,5,3,2,NA,5,33,6.7,6,6.1,NA,NA,NA,6.6,6.6,6.5,5.9,5.6,7,5.2,7,5.5,NA,3.7,5.3
Too Close for Comfort,652,409,152,2,1,1,34,24,10,324,231,93,182,144,38,NA,53,436,6.2,6.2,6.3,7,7,7,6.1,6,6.7,6.2,6.1,6.4,6.2,6.3,6,NA,6,6.2
Townies,84,44,28,1,1,NA,14,5,9,38,24,14,19,14,5,NA,15,31,6.5,5.4,5.4,5,5,NA,7.1,6.4,7.8,5.2,5,5.7,5.3,6.1,3,NA,4.9,4.9
"Two Guys, a Girl and a Pizza Place",11112,6895,3208,89,46,43,5559,3669,1890,3634,2641,993,559,403,156,NA,180,2447,7.2,7.2,7.3,7.4,7,7.7,7.4,7.3,7.5,7.2,7.2,7.2,6.7,6.7,6.8,NA,5.3,6.8
Two of a Kind,1057,327,591,16,4,12,704,214,490,129,69,60,44,36,8,NA,37,360,6.5,6.2,6.9,7.7,6,7.6,6.9,6.5,7.1,5.7,5.8,5.5,6.3,6.2,6.7,NA,5.8,6.7
What About Joan,93,43,34,NA,NA,NA,29,15,14,30,18,12,15,10,5,NA,8,33,6,4.9,5.9,NA,NA,NA,6.6,6.2,7.1,4.4,3.8,6.2,5.7,6.9,3.4,NA,4.4,6
Webster,825,532,191,1,1,NA,63,45,18,516,384,132,125,97,28,NA,77,388,5.2,5,5.8,8,8,NA,5.3,5.3,5.5,5.2,5,6,5.1,4.9,5.8,NA,5,5.2
Where I Live,44,28,13,NA,NA,NA,9,6,3,25,16,9,6,6,NA,NA,3,30,8.3,7.7,8.9,NA,NA,NA,9.9,9.9,10,7.8,7.5,8.7,6.3,6.3,NA,NA,7.3,8.8
Who's the Boss?,4292,2513,1303,22,13,9,1107,636,471,2150,1504,646,435,317,118,1,168,1578,6.3,6.1,6.6,7.2,6.9,8.3,6.6,6.5,6.9,6.2,6.1,6.7,6,6,6.1,5,6,6.3
A Whole New Ballgame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
You Wish,87,35,39,NA,NA,NA,51,21,30,12,7,5,8,6,2,NA,6,31,7.5,6.6,7.5,NA,NA,NA,7.4,7.3,7.3,5.5,4.1,8.6,5.9,5.6,8,NA,3.8,7.8
The Dana Carvey Show,379,271,57,4,4,NA,104,84,20,168,145,23,48,36,12,NA,39,253,6.8,7,6.6,8,8,NA,6.5,6.8,4.7,7.5,7.4,8.4,6,5.9,6.4,NA,6.3,6.8
Dolly,38,25,3,NA,NA,NA,2,2,NA,15,14,1,11,9,2,NA,13,17,7.2,6.6,7.7,NA,NA,NA,9.5,9.5,NA,6.1,6.1,5,6.9,6.8,9,NA,6.7,6.8
Fridays,245,177,31,NA,NA,NA,25,24,1,56,50,6,120,99,21,NA,40,161,6.9,6.9,8.3,NA,NA,NA,6.1,6.2,4,6.8,6.8,7,7.4,7.2,9.3,NA,5.5,7.1
The Wayne Brady Show,198,126,40,1,1,NA,62,48,14,68,53,15,30,21,9,NA,34,117,4.8,4.9,5.4,10,10,NA,5.6,5.7,5.3,4.8,4.7,5.4,3.7,3.4,5.1,NA,4.4,4.9
Whose Line Is It Anyway?,19817,12680,5070,537,372,165,12039,8556,3483,3896,2950,946,876,586,290,1,192,7240,8.5,8.5,8.7,9.1,9.1,9.1,8.8,8.8,8.9,8,8,8.2,7.9,7.8,8.3,8,5.9,8.4
Ripley's Believe It or Not!,589,412,109,6,3,3,330,261,69,144,123,21,31,20,11,NA,43,229,6.5,6.6,6,7,8.3,7.3,6.9,7,6.3,6.1,6.1,5.6,6.1,6.4,4.9,NA,6.6,6.5
Muppets Tonight,752,510,163,7,6,1,265,199,66,313,242,71,69,56,13,1,64,318,7.7,7.8,8.1,9.1,9.1,10,7.7,7.8,7.3,7.9,7.8,8.5,7.7,7.7,7.6,6,6,7.6
The Simpsons,156701,118442,26253,5691,4362,1329,94878,77153,17725,35352,30360,4992,4691,3818,873,14,480,31276,8.9,9,8.7,9.1,9.1,9,9,9,8.8,8.9,8.9,8.5,8.5,8.6,7.8,8,7.8,8.9
Family Guy,156117,113512,25563,5078,4011,1067,92118,75023,17095,32353,27431,4922,4236,3388,848,6,428,39015,8.4,8.4,8,8.7,8.8,8.3,8.5,8.5,8.2,8.2,8.3,7.8,7.6,7.7,6.9,8.7,6.6,8.2
American Dad!,45953,35027,7534,1274,1004,270,27655,22746,4909,10891,9269,1622,1314,1060,254,2,281,11481,7.5,7.5,7.2,7.9,8,7.7,7.6,7.7,7.4,7.3,7.4,7,6.6,6.6,6.6,8,5.8,7.1
24,104735,78657,14226,1192,954,238,51163,44036,7127,31999,27332,4667,5696,4456,1240,10,422,21128,8.4,8.4,8,8.8,8.9,8.7,8.5,8.5,7.9,8.3,8.4,7.9,8.1,8.2,8,7.9,7,8.3
Bones,72402,30935,33481,2201,800,1401,35509,15974,19535,18320,10076,8244,5126,2811,2315,1,310,17896,8,7.6,8.5,8.7,8.4,8.9,8.1,7.7,8.6,7.7,7.4,8.3,7.9,7.7,8.2,5,6.4,8.1
Glee,93073,38404,45109,5269,1628,3641,52625,23162,29463,17465,9789,7676,4011,2388,1623,7,274,24094,6.8,6.1,7.7,7.7,6.8,8.3,6.8,6.1,7.7,6.4,6,7.5,6.9,6.6,7.4,7.7,5,6.7
American Idol,16779,9752,4980,420,253,167,8436,5531,2905,4161,2945,1216,1296,838,458,4,222,7694,4,3.7,4.9,4.4,3.9,5.8,4.1,3.8,4.9,3.9,3.6,4.8,4.3,3.9,5.7,4.5,3.5,4
So You Think You Can Dance,7220,2825,3552,143,47,96,3652,1517,2135,1811,892,919,560,296,264,2,138,2664,6.1,5.2,7.5,6.8,5.3,7.7,6.2,5.2,7.5,5.8,5,7.3,6.8,6,8.2,6.5,3.8,5.7
Hell's Kitchen,10779,6556,3066,251,151,100,5201,3507,1694,3154,2295,859,696,436,260,1,183,3615,6.7,6.7,6.9,7.4,7.3,7.6,6.9,6.9,6.9,6.6,6.5,6.8,6.1,5.8,6.7,4,4.4,6.6
Kitchen Nightmares,4909,3347,1193,95,68,27,2193,1592,601,1710,1348,362,370,256,114,1,101,1862,7.2,7.2,7.2,7.6,7.6,7.7,7.2,7.3,7.1,7.1,7.1,7.3,7,6.8,7.6,3,5.8,7.4
Raising Hope,22385,11833,8338,677,374,303,11282,6337,4945,5990,3837,2153,1413,895,518,NA,163,7038,7.8,7.8,8,8.3,8.4,8.1,7.9,7.8,8,7.9,7.8,8.1,7.8,7.7,7.9,NA,5.3,7.9
The Cleveland Show,20046,15502,2929,791,660,131,11579,9770,1809,4774,4093,681,662,541,121,NA,186,5559,5.4,5.5,5.3,6.3,6.4,6.2,5.5,5.5,5.3,5.5,5.5,5.5,4.7,4.7,4.6,NA,4.1,5
Futurama,91549,67629,13818,2339,1854,485,52760,43459,9301,21799,18889,2910,2614,2182,432,7,405,20879,8.7,8.7,8.4,8.6,8.7,8.4,8.7,8.8,8.5,8.6,8.6,8.2,8.2,8.3,7.6,8.3,7.4,8.7
King of the Hill,27464,20291,4873,461,366,95,14935,12167,2768,7614,6247,1367,1409,1087,322,1,286,13165,7,7.1,6.8,7.2,7.3,6.7,7.1,7.2,6.7,6.9,6.9,7,6.8,6.9,6.4,4,5.5,7.4
The PJs,2507,1856,358,14,10,4,1222,1039,183,773,655,118,139,112,27,NA,84,1272,6.5,6.5,6.7,6.1,6,5.3,6.7,6.7,6.8,6.3,6.2,6.9,6.2,6.1,6.6,NA,6.2,6.4
Sit Down Shut Up,1501,1130,244,16,13,3,807,658,149,445,387,58,74,60,14,1,44,879,5.6,5.6,6.2,6.9,7.2,6.3,6.2,6.2,6.3,5.2,5.1,6.9,4.2,4.1,4.9,4,4.5,5.3
21 Jump Street,6446,3327,2407,95,28,67,1907,897,1010,2954,1975,979,583,352,231,NA,187,2076,6.9,6.7,7.3,8.5,8,8.8,6.9,6.5,7.4,6.9,6.8,7.3,6.7,6.6,7,NA,5.2,6.7
413 Hope St.,51,29,14,NA,NA,NA,16,9,7,15,9,6,12,11,1,NA,6,28,5.3,4.9,2.7,NA,NA,NA,5.7,6.8,2.3,3.7,4.6,2.8,3.6,3.5,10,NA,3.4,3.9
Ally McBeal,17757,8719,7221,93,30,63,7732,3606,4126,6422,4050,2372,1328,911,417,2,264,2673,6.5,6.3,7.1,6.9,5.9,7.8,6.7,6.2,7.4,6.4,6.2,6.9,6.7,6.7,6.8,5.5,5.3,5.9
The American Embassy,102,35,49,NA,NA,NA,24,9,15,33,14,19,24,12,12,NA,5,47,5,4.2,6.1,NA,NA,NA,4.1,2.8,5.8,6.3,4.4,7.9,5.1,6.3,3.9,NA,2.9,4.3
"Beverly Hills, 90210",17214,8474,6876,117,34,83,6948,3251,3697,7072,4476,2596,834,575,259,1,264,3849,5.7,5.4,6.5,6.4,5.2,7.3,5.9,5.5,6.6,5.7,5.4,6.6,5.1,4.9,5.6,5,4.2,5.7
Booker,310,186,86,1,NA,1,47,28,19,172,124,48,46,31,15,NA,38,107,5.9,5.9,5.8,10,NA,10,6.4,6.3,7,5.9,6,5.6,5.6,5.4,6.1,NA,4.8,6.1
Boston Public,3729,2283,979,7,5,2,1648,1104,544,1219,908,311,310,233,77,NA,117,1293,7,6.9,7.1,7.3,7,9,7.2,7.2,7.3,6.7,6.7,7,6.9,7,6.7,NA,6.1,6.9
Brimstone,1092,732,217,NA,NA,NA,226,173,53,445,359,86,252,186,66,NA,65,529,7.7,7.9,7.3,NA,NA,NA,7.2,7.5,6.3,7.8,7.8,8,8,8,7.8,NA,6.9,7.8
Canterbury's Law,473,250,184,2,1,1,151,81,70,155,95,60,118,72,46,NA,21,267,6.1,5.8,6.8,7,4,10,5.6,5.3,6.3,6.3,5.8,7.6,6.2,6.1,6.6,NA,5.4,6.2
Class of '96,101,55,30,NA,NA,NA,9,4,5,62,41,21,12,9,3,NA,11,23,7,7.3,6.8,NA,NA,NA,5.6,4.3,6.1,7.5,7.7,7,6.9,6.7,9.3,NA,4.9,7.8
D.E.A.,112,85,13,NA,NA,NA,49,45,4,40,35,5,9,5,4,NA,10,61,5.4,4.9,9.7,NA,NA,NA,5.7,5.3,8,4.6,4.5,9.6,5,5.2,5.5,NA,4.4,6.1
"Diners, Drive-ins and Dives",1017,590,322,24,13,11,366,224,142,340,238,102,134,93,41,NA,40,612,7.5,7.5,7.4,7.6,8,6.9,7.4,7.3,7.5,7.5,7.5,7.3,7.7,7.6,7.7,NA,6.1,7.5
Get Real,349,157,140,NA,NA,NA,136,60,76,126,75,51,28,20,8,NA,22,108,6.6,6.5,7.1,NA,NA,NA,7.5,7.3,7.7,6.3,6.1,6.9,5.8,6.1,4.6,NA,6.2,6
Bad Girls Club,1766,627,898,47,16,31,898,341,557,439,204,235,79,44,35,NA,44,1024,4,3.2,5.1,5.7,3.1,7.3,4.5,3.7,5.5,3.4,2.8,4.5,2.8,2.6,3.2,NA,3.2,4
Head Cases,94,60,19,NA,NA,NA,34,29,5,29,19,10,16,12,4,NA,12,53,6.6,5.2,2,NA,NA,NA,5.8,5.7,9,3.5,3.8,2,5.4,6.5,5.3,NA,4.2,4.6
The Heights,126,56,46,NA,NA,NA,10,5,5,77,43,34,11,7,4,NA,12,50,6.7,6.7,6.4,NA,NA,NA,6.9,10,4.6,6.6,6.2,7.2,7.1,7.7,6.5,NA,5.5,6.8
Human Target,12966,9687,2133,167,128,39,5542,4707,835,4398,3645,753,1463,1058,405,2,177,3570,7.5,7.6,7.3,8.2,8.3,7.6,7.5,7.6,6.9,7.5,7.5,7.4,7.7,7.6,8,7,5.5,7.4
The Inside,843,468,254,NA,NA,NA,300,176,124,308,217,91,93,70,23,NA,37,217,7.6,7.6,8,NA,NA,NA,7.9,7.6,8.4,7.4,7.4,7.5,8.2,8.3,7.5,NA,6.5,7.5
John Doe,5585,3871,1169,17,9,8,2722,2117,605,1733,1352,381,482,345,137,1,137,1507,7.4,7.6,7.2,6.8,6,9.6,7.5,7.6,7.2,7.5,7.6,7.1,7.7,7.8,7.4,7,5.2,7.1
Jonny Zero,141,90,32,1,1,NA,68,49,19,36,29,7,13,9,4,NA,12,52,6.5,7.1,7.3,10,10,NA,7.3,6.5,9.5,7.9,8.4,6.9,5.5,6.3,6,NA,4.6,6.2
The Jury,83,42,23,NA,NA,NA,22,14,8,24,17,7,16,10,6,NA,14,34,6.8,6.5,5.4,NA,NA,NA,7,7.2,6.4,6.7,6.6,6.9,5.5,6,3.5,NA,5.5,6.9
Young Justice,8700,6408,1201,443,316,127,4818,4046,772,1783,1606,177,283,230,53,1,103,2438,8.1,8.3,7.5,9,8.9,9.2,8.2,8.3,7.6,8.2,8.3,6.9,8,8,7.9,7,4.9,7.7
Key West,187,122,39,1,NA,1,13,6,7,76,63,13,69,53,16,NA,16,118,7,7.6,6.5,10,NA,10,3.6,3.8,3.3,8.2,8.1,8.7,8.6,8.5,9.2,NA,4,7.1
Killer Instinct,450,218,172,2,1,1,189,104,85,143,81,62,48,28,20,NA,33,84,6.9,6.9,7.1,10,10,10,7.1,6.8,7.8,7,6.8,7.6,7,7.6,6.2,NA,6.3,7.1
Kindred: The Embraced,1690,952,500,3,1,2,359,234,125,841,573,268,220,131,89,NA,60,625,7.5,7.4,8,7,10,5.5,7.5,7.4,7.9,7.4,7.3,7.7,7.9,7.7,8.3,NA,6.6,7.6
K-Ville,1249,908,240,5,3,2,463,387,76,495,396,99,162,111,51,NA,45,714,6.1,6.2,6,6.3,8.7,7.5,6.2,6.5,4.8,6.1,6,6.8,6.2,6,6.6,NA,5.5,6.2
Lie to Me,62221,38388,19058,1123,626,497,34572,22981,11591,16780,11738,5042,3388,2164,1224,2,240,10406,7.9,7.8,8.1,8.6,8.6,8.6,8.1,8,8.2,7.6,7.6,7.9,7.6,7.5,8,7,5.9,7.7
Lone Star,730,514,181,1,1,NA,346,255,91,221,179,42,108,71,37,NA,41,352,6.6,6.7,6.5,10,10,NA,7.4,7.4,7.3,6,6,6.2,6.3,6.5,5.5,NA,5.7,6.7
Melrose Place,5740,2974,2090,16,7,9,1800,939,861,2700,1690,1010,431,284,147,NA,180,1346,5.4,5.1,6,3.9,3.5,4.4,5.6,5.3,6.2,5.3,5,6,5.2,5.1,5.6,NA,4.5,5.6
Mental,1963,1058,730,16,5,11,925,551,374,598,368,230,225,124,101,NA,40,541,6.7,6.4,7.5,6.6,4.2,8,7,6.7,7.7,6.5,6.2,7.4,6.6,6.3,7.1,NA,5.7,6.7
Models Inc.,492,221,200,NA,NA,NA,104,51,53,265,140,125,37,23,14,NA,37,112,5.9,5.8,6,NA,NA,NA,6.3,6.2,6.4,5.8,5.6,6.2,5.4,5.8,4.4,NA,5.1,5.7
New York Undercover,1010,582,299,2,NA,2,306,189,117,458,327,131,81,47,34,NA,43,602,7.4,7.5,7.5,8,NA,8,8,8,7.7,7.5,7.4,7.6,6.6,6.7,6.3,NA,5.7,7.6
North Shore,678,328,253,3,1,2,376,209,167,143,85,58,49,30,19,NA,34,141,6.2,6.1,6.8,8.7,6,10,6.6,6.2,7.5,5.9,5.7,6.3,6.3,6.6,5.5,NA,4.4,5.6
The O.C.,47714,25404,17675,813,275,538,32908,19028,13880,7462,5097,2365,897,580,317,1,235,8066,7.2,7,7.5,8.3,7.6,8.7,7.5,7.4,7.7,6.3,6.2,6.5,5.8,5.6,6.4,7,4.7,6.6
Opposite Sex,348,187,116,1,1,NA,187,102,85,95,72,23,13,11,2,NA,20,94,6.8,6.8,7.4,7,7,NA,6.9,6.5,7.7,7.2,7.1,7.6,6.3,6.5,7,NA,4.3,5.9
Pacific Palisades,93,46,35,NA,NA,NA,30,13,17,39,25,14,12,8,4,NA,8,27,6.9,6,6.1,NA,NA,NA,7.4,7.4,7.5,5.3,4.9,6,5.7,6.3,4,NA,4.4,4.7
Party of Five,5220,2463,2153,22,12,10,1673,788,885,2381,1369,1012,388,243,145,NA,149,1408,6.5,6.3,6.8,7.2,6.8,8,6.6,6.4,6.8,6.5,6.3,6.9,6.5,6.4,6.7,NA,5.7,6.6
Pasadena,351,145,147,NA,NA,NA,175,72,103,82,53,29,31,20,11,NA,22,91,7,7.4,7.1,NA,NA,NA,7.1,7.3,6.9,7.6,7.5,7.8,7.3,7.2,7.4,NA,4.2,6.5
Past Life,328,186,126,4,2,2,131,66,65,112,77,35,59,36,23,1,14,116,4.9,4.2,6.7,9.5,10,9,5.3,4.1,7.1,4.9,4.2,7.2,4.6,4.3,5.3,5,3.3,4.8
Point Pleasant,1728,977,538,3,1,2,751,446,305,570,401,169,162,121,41,NA,68,492,7,7,7.1,8.7,8,9,6.9,7,6.8,6.9,6.8,7.2,7.2,7.1,7.6,NA,5.6,6.8
Prison Break,193944,141434,32083,3879,2953,926,120061,98582,21479,40661,33476,7185,4208,3178,1030,3,371,17627,8.5,8.5,8.5,9.3,9.3,9.3,8.7,8.7,8.6,8.1,8.1,8.3,7.7,7.7,7.7,8.7,7.6,8.2
Profit,1427,956,284,2,2,NA,283,223,60,716,581,135,205,140,65,1,71,445,7.9,8.3,7.2,7.5,7.5,NA,6.7,7.1,5.2,8.6,8.7,7.9,8.3,8.4,8.1,9,5.6,7
Reunion,870,359,416,2,1,1,434,179,255,279,152,127,40,23,17,NA,33,380,7.3,7.2,8,7.5,6,9,7.9,7.7,8.2,7.3,6.9,8,6.4,6.9,5.6,NA,5.4,7.4
Roar,758,351,310,4,1,3,215,120,95,293,157,136,125,69,56,NA,53,328,7,6.7,7.8,8.5,7,9,7.2,6.8,8,7.1,6.7,7.7,7.2,6.4,8.3,NA,5.7,7.1
Ryan Caulfield: Year One,43,25,15,NA,NA,NA,13,11,2,17,10,7,7,4,3,NA,3,26,5.5,4.3,1.7,NA,NA,NA,4,4.8,1,2.8,4.7,2,1.1,5.5,4.7,NA,2,2.3
South Central,123,68,36,NA,NA,NA,29,20,9,60,40,20,11,7,4,NA,11,79,6.6,6.6,7.2,NA,NA,NA,8.8,8.9,8.6,6.4,6.3,6.5,6.2,5.8,8.3,NA,4.6,7.1
Standoff,1799,1120,528,1,NA,1,797,521,276,613,443,170,213,146,67,1,72,711,7,7.1,7.5,10,NA,10,7.1,7.1,7.2,7.2,7.1,7.8,6.9,6.8,7.5,3,5,6.9
Strange Luck,308,177,80,NA,NA,NA,43,30,13,119,85,34,90,60,30,NA,36,156,7.1,7.5,7,NA,NA,NA,5.1,4.6,6.7,7.9,8.1,6.6,8.2,8.2,8,NA,5.3,7.3
The Good Guys,5139,3836,910,43,34,9,2056,1708,348,1901,1569,332,626,459,167,NA,86,2300,7.7,7.8,7.8,8.4,8.5,7.9,8,8,7.8,7.8,7.8,7.9,7.3,7.3,7.6,NA,5.7,7.7
The $treet,222,142,48,NA,NA,NA,62,49,13,99,74,25,24,17,7,NA,20,67,6.6,7.1,5.5,NA,NA,NA,7.1,7.3,5.1,6.8,7,6.3,5.6,6.1,4.6,NA,5.8,5.9
The Outsiders,232,102,103,8,2,6,67,35,32,99,43,56,25,21,4,NA,17,127,6.5,6.4,7.2,8.7,5.5,9.4,5.7,5.2,7.7,7.1,7,7.1,6.7,6.6,9,NA,5.7,6.6
Time of Your Life,195,92,77,2,NA,2,69,28,41,70,46,24,22,16,6,NA,17,50,5.3,5.5,5.9,6.5,NA,6.5,6.3,6.6,5.8,5.9,5.6,6.6,4,4.2,2.4,NA,3.9,4.8
Vanished,1408,806,446,3,3,NA,472,309,163,558,379,179,200,111,89,NA,43,412,6.8,6.8,7,10,10,NA,7,6.9,7.5,6.6,6.5,6.7,7,7.1,6.8,NA,5.5,6.8
The Wedding Bells,303,122,160,NA,NA,NA,103,41,62,119,52,67,53,26,27,NA,18,226,5.1,4.1,7.8,NA,NA,NA,5.1,3.9,7.5,5.3,3.8,8.7,5.3,4.9,6.2,NA,3.1,5.8
Wonderfalls,8752,4408,3364,38,17,21,3605,1783,1822,3081,1976,1105,892,593,299,NA,161,3458,7.9,7.9,8.2,7.4,7.3,7.4,7.8,7.5,8.3,8.1,8.1,8.1,8.1,8.1,8.1,NA,5.7,7.9
Are You Smarter Than a 5th Grader?,1564,996,482,31,16,15,851,560,291,388,293,95,152,103,49,NA,52,1018,4.8,4.5,5.7,5.9,6.4,4.9,4.9,4.6,5.9,4.3,4.1,5.1,5.4,5.1,6.6,NA,3.8,5
Banzai,63,43,9,NA,NA,NA,19,15,4,25,22,3,5,4,1,NA,9,17,6.9,5.8,4.7,NA,NA,NA,6.3,6.4,7,5.6,5.6,6.7,3.9,6.8,3,NA,3,4.4
The Chamber,28,16,6,NA,NA,NA,12,9,3,6,6,NA,3,1,2,NA,3,16,3.6,1.1,2.2,NA,NA,NA,2.1,2,5,1,1,NA,4.3,2,5.5,NA,1,1.4
Don't Forget the Lyrics!,560,324,200,15,8,7,279,170,109,172,108,64,46,34,12,1,36,329,4.9,4.5,5.7,6,6.1,5.8,4.8,4.6,5.4,4.9,4.6,5.9,4.5,3.9,7.1,1,4.3,5
Fun House,112,71,27,NA,NA,NA,66,44,22,28,24,4,1,1,NA,NA,11,12,6.7,7.3,7.8,NA,NA,NA,6.6,6.4,7.3,8.1,7.9,8.3,10,10,NA,NA,4,4.3
American Greed,78,49,19,NA,NA,NA,24,17,7,20,16,4,21,14,7,NA,9,42,8.2,7.7,5.6,NA,NA,NA,7.4,8,4,7.8,7.5,9.3,6.1,7,4.5,NA,6.8,7.2
Guinness World Records: Primetime,22,12,4,NA,NA,NA,9,7,2,5,4,1,2,1,1,NA,5,8,6.9,6.5,7.5,NA,NA,NA,6.4,6.4,8,6.3,7.5,5,8,7,9,NA,5.5,5.8
Hole in the Wall,263,191,47,2,2,NA,128,104,24,82,67,15,20,17,3,NA,11,172,2.7,2.9,2,5,5,NA,2.8,3.1,2.1,2.8,2.8,2.5,3,3,3.3,NA,2.9,2.8
The Moment of Truth,1044,787,220,9,7,2,620,489,131,304,243,61,57,42,15,NA,32,555,4.5,4.4,4.6,4.4,4.5,3,5.3,5.3,5.5,3.5,3.5,3,3,2.8,4,NA,3.5,4
Million Dollar Money Drop,74,49,13,NA,NA,NA,21,17,4,25,21,4,15,11,4,NA,9,46,5.5,5.1,8.7,NA,NA,NA,5.7,5.5,5.5,5.8,5.9,6.8,4.3,2.6,6.5,NA,4.3,5.2
The Rich List,33,22,4,NA,NA,NA,13,13,NA,7,6,1,6,3,3,NA,3,20,7.1,6.6,5.3,NA,NA,NA,5.5,5.5,NA,7.9,8,6,5.5,6.3,5,NA,1.7,6.6
30 Seconds to Fame,30,21,7,1,1,NA,10,9,1,13,9,4,2,1,1,NA,5,15,5.5,3.9,3.7,1,1,NA,4.7,4.6,6,3.4,3.3,5.3,1,1,1,NA,3.8,5.9
